               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.025571,            0.025322,            0.012184,             0.79339,             0.84257,             0.82792,             0.53512,             0.02699,            0.022311,            0.013028,            0.004654,            0.004654,            0.004654
                  56,            0.025504,            0.023502,           0.0097569,             0.84949,             0.78758,             0.84432,             0.56148,              0.0256,            0.021828,            0.011726,            0.004555,            0.004555,            0.004555
                  57,            0.024658,              0.0255,             0.01159,             0.82802,             0.81136,             0.84105,             0.55182,            0.026474,            0.022011,             0.01215,            0.004456,            0.004456,            0.004456
                  58,            0.024377,            0.024511,              0.0101,             0.79477,             0.84476,             0.83874,              0.5594,            0.026328,            0.022258,            0.011859,            0.004357,            0.004357,            0.004357
                  59,             0.02488,            0.025072,            0.010523,             0.78634,             0.83503,             0.83788,             0.53933,            0.027834,            0.022085,            0.012909,            0.004258,            0.004258,            0.004258
                  60,            0.024926,            0.025586,            0.010338,             0.80334,             0.87256,             0.85135,             0.55876,            0.025924,            0.022068,            0.010975,            0.004159,            0.004159,            0.004159
                  61,            0.024802,            0.026934,           0.0091735,             0.78627,             0.85488,             0.85298,             0.56323,            0.027085,            0.021979,            0.011248,             0.00406,             0.00406,             0.00406
                  62,            0.024296,            0.026499,           0.0088232,             0.80682,             0.84545,             0.84342,             0.56093,             0.02583,            0.022271,            0.012379,            0.003961,            0.003961,            0.003961
                  63,            0.023719,            0.025293,           0.0095232,             0.77397,             0.85843,             0.84177,             0.56506,            0.025754,            0.022004,            0.013602,            0.003862,            0.003862,            0.003862
                  64,            0.023443,            0.023864,           0.0091069,             0.78285,              0.8668,             0.85025,             0.55671,            0.026462,            0.022053,            0.011144,            0.003763,            0.003763,            0.003763
                  65,             0.02332,            0.024313,           0.0097547,             0.80798,             0.85279,             0.84618,             0.56705,            0.025575,            0.022216,            0.011476,            0.003664,            0.003664,            0.003664
                  66,            0.023788,            0.023188,           0.0086967,              0.7843,             0.87854,             0.85506,              0.5654,            0.026549,            0.022141,           0.0097875,            0.003565,            0.003565,            0.003565
                  67,            0.023558,            0.023233,           0.0080184,             0.80716,             0.87906,             0.85723,             0.57033,            0.025723,            0.022157,            0.011161,            0.003466,            0.003466,            0.003466
                  68,            0.023991,            0.024445,           0.0086553,              0.8012,             0.87658,             0.85737,             0.56962,            0.026003,            0.022242,            0.010298,            0.003367,            0.003367,            0.003367
                  69,            0.022968,            0.025352,           0.0070481,             0.80011,             0.87424,              0.8476,             0.56315,            0.026118,            0.022026,            0.012365,            0.003268,            0.003268,            0.003268
                  70,            0.022666,            0.023099,           0.0079544,             0.81154,             0.87772,             0.86078,             0.56663,            0.025577,             0.02203,            0.010884,            0.003169,            0.003169,            0.003169
                  71,            0.022788,            0.023749,           0.0079555,             0.78235,             0.87559,             0.84278,             0.56229,            0.025802,            0.022334,            0.011517,             0.00307,             0.00307,             0.00307
                  72,            0.022329,            0.023128,           0.0078145,              0.8078,             0.87628,             0.85546,             0.57604,            0.025351,            0.022126,            0.010366,            0.002971,            0.002971,            0.002971
                  73,            0.022587,            0.025226,           0.0073262,             0.80147,             0.90413,              0.8607,             0.58082,            0.025441,            0.022264,            0.008614,            0.002872,            0.002872,            0.002872
                  74,            0.022306,            0.023184,           0.0078477,             0.79627,             0.85987,             0.84865,             0.55773,            0.026167,            0.022427,            0.010959,            0.002773,            0.002773,            0.002773
                  75,            0.022153,            0.024312,           0.0069237,             0.81481,             0.88828,             0.86118,             0.57919,            0.025742,            0.022203,           0.0097746,            0.002674,            0.002674,            0.002674
